Metrica,Valor
Sentimiento medio IG (US),3.06
Sentimiento medio IG (Europa),4.26
Sentimiento medio TK (US),3.16
Sentimiento medio TK (Europa),3.25
Rating Trustpilot (media global),1.56
% Negativo Trustpilot Europa,80.9%
